"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESF","WT01","WT03"
"US1CAAL0024","FREMONT 3.7 NE, CA US","2016-10-31",,,"0.18",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-01-19",,,"0.86",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-01-20",,,"0.54",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-01-21",,,"0.72",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-01-22",,,"0.63",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-01-23",,,"0.37",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-01-24",,,"0.14",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-02",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-03",,,"0.45",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-06",,,"0.31",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-07",,,"0.66",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-08",,,"0.41",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-09",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-10",,,"0.78",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-16",,,"0.17",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-17",,,"0.09",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-18",,,"0.63",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-19",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-20",,,"0.91",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-21",,,"1.51",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-22",,,"0.38",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-02-27",,,"0.08",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-05",,,"0.67",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-06",,,"0.17",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-07",,,"0.06",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-21",,,"0.41",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-22",,,"0.82",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-23",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-24",,,"0.03",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-25",,,"0.34",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-27",,,"0.06",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-03-30",,,"0.01",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-04-07",,,"0.73",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-04-08",,,"0.44",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-04-09",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-04-13",,,"0.25",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-04-14",,,"0.03",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-04-17",,,"0.18",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-04-18",,,"0.21",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-04-19",,,"0.01",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-04-20",,,"0.26",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-09-12",,,"0.14",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-10-20",,,"0.31",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-11-03",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-11-09",,,"0.08",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2017-11-14",,,"0.20",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-01-08",,,"0.45",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-01-09",,,"1.89",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-01-10",,,"0.03",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-01-19",,,"0.36",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-01-20",,,"0.03",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-01-22",,,"0.16",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-01-23",,,"0.09",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-01-25",,,"0.56",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-01-26",,,"0.29",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-02-27",,,"0.60",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-01",,,"0.20",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-02",,,"0.65",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-03",,,"0.48",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-04",,,"0.14",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-08",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-13",,,"0.18",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-14",,,"0.36",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-15",,,"0.43","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-16",,,"0.09",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-18",,,"0.03",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-21",,,"0.26",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-22",,,"0.45",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-23",,,"0.23",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-24",,,"0.05",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-25",,,"0.09",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-03-26",,,"0.01",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-04-16",,,"0.12",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-04-17",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-11-22",,,"0.35",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-11-23",,,"0.51",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-11-24",,,"1.12",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-11-28",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-11-29",,,"0.38",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-11-30",,,"0.46",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-12-01",,,"0.25",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-12-02",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-12-05",,,"0.21",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-12-17",,,"1.09",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2018-12-25",,,"0.56",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-01-13",,,"1.15",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-01-17",,,"1.26",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-01-18",,,"0.26",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-01-19",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-01-20",,,"0.01",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-01-21",,,"0.27",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-01-29",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-01-31",,,"0.16",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-02",,,"0.52",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-03",,,"0.35",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-04",,,"0.67",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-05",,,"0.46",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-06",,,"0.01",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-09",,,"0.39",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-10",,,"0.85",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-13",,,"0.48",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-14",,,"1.03",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-15",,,"0.72",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-16",,,"0.31",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-17",,,"0.38",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-26",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-27",,,"0.24",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-02-28",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-01",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-02",,,"0.50",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-03",,,"0.31",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-04",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-05",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-06",,,"0.48",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-07",,,"0.31",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-08",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-09",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-10",,,"0.12",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-11",,,"0.08",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-12",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-13",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-14",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-15",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-16",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-17",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-18",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-19",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-20",,,"0.32",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-21",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-22",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-23",,,"0.74",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-24",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-25",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-26",,,"0.48",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-27",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-28",,,"0.78",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-29",,,"0.06",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-30",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-03-31",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-04-01",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-04-02",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-04-03",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-04-04",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-04-05",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-04-06",,,"0.20",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-04-09",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-04-16",,,"0.13",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-04-20",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-05-16",,,"0.58",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-05-17",,,"0.27",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-05-18",,,"0.05",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-05-19",,,"0.92",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-05-20",,,"0.10",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-05-21",,,"0.13",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-05-22",,,"0.15",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-05-26",,,"0.05",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-05-27",,,"0.09",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-09-16",,,"0.14",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-09-17",,,"0.18",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-10-17",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-08","   19","2.70",,,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-11",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-12",,,"0.03",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-13",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-14",,,"0.13",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-15",,,"0.10",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-18",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-19",,,"0.21",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-22",,,"0.45",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-25",,,"0.10",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-26",,,"0.01",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2019-12-30",,,"0.15",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-01-08",,,"0.12",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-01-09",,,"0.24",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-01-11",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-01-13",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-01-14",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-01-15",,,"0.05",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-01-17",,,"0.65",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-01-22",,,"0.05",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-01-26",,,"0.18",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-03-14","    7","0.30",,,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-03-15",,,"1.30",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-03-16",,,"0.50",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-03-17",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-03-25","    8","0.70",,,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-04-05","   10","0.71",,,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-04-06",,,"0.75",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-04-07",,,"0.36",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-05-18",,,"0.30",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-05-19",,,"0.42",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-11-09",,,"0.09",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-11-14",,,"0.22",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-11-18",,,"0.31",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-11-19",,,"0.09",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-11-24",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-12-12",,,"0.64",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-12-13",,,"0.33",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-12-14",,,"0.33",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-12-17",,,"0.64",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-12-26",,,"0.12",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-12-28",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2020-12-31",,,"0.18",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-01-02",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-01-03",,,"0.03",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-01-22",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-01-23",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-01-25",,,"0.27",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-01-27",,,"0.69",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-01-28",,,"1.36",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-01-29",,,"0.59",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-01-30",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-02-02",,,"0.13",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-02-12",,,"0.63",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-02-13",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-02-15",,,"0.14",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-02-16",,,"0.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-02-20",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-03-06",,,"0.20",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-03-10",,,"0.49",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-03-11",,,"0.14",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-03-15",,,"0.18",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-03-16",,,"0.01",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-03-18",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-03-19",,,"0.30",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-04-26",,,"0.27",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-09-19",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-09-27",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-10-18",,,"0.06",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-10-21",,,"0.37",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-10-22",,,"0.42",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-10-23",,,"0.25",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-10-24",,,"0.31",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-10-25",,,"3.69",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-10-26",,,"0.05",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-11-02",,,"0.13",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-11-04",,,"0.17",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-11-09",,,"0.17",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-11-10",,,"0.02",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-07",,,"0.03",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-09",,,"0.12",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-12",,,"0.06",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-13",,,"0.26",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-14",,,"1.79",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-16",,,"0.59",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-22",,,"0.40",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-23",,,"0.47",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-24",,,"0.78",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-25",,,"0.42",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-26",,,"0.28",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-27",,,"0.88",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-28",,,"0.06",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2021-12-29",,,"0.08",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2022-01-04",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2022-01-05",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2022-01-07",,,"0.04",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2022-01-08",,,"0.01",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2022-03-04",,,"0.11",,,,,,,,
